Wall time,Step,Value
1536756392.8890278,0,0.20292945206165314
1536756393.9618835,1,0.08370105922222137
1536756395.0257125,2,0.05659972503781319
1536756396.0775108,3,0.01048696506768465
1536756397.0701516,4,0.0007292754598893225
1536756398.1690753,5,0.00011265896318946034
1536756399.2198708,6,3.81765203201212e-05
1536756400.2215357,7,1.4460068996413611e-05
1536756401.2211952,8,4.817867647943785e-06
1536756402.624985,9,2.421669023533468e-06
1536756403.6055937,10,6.023565219948068e-07
1536756404.5922184,11,3.114977857876511e-07
1536756405.5948856,12,1.2184736419840192e-07
1536756406.5895345,13,4.3930629800570387e-08
1536756407.4839118,14,1.3417228217349475e-08
1536756408.4635184,15,5.367184918725343e-09
1536756409.480223,16,2.252138253666658e-09
1536756410.4758716,17,9.631937469833929e-10
1536756411.529675,18,3.280810623174091e-10
1536756412.512289,19,1.3552843569630824e-10
1536756413.490812,20,6.479452391294771e-11
1536756414.4588888,21,2.5041422060945173e-11
1536756415.507679,22,1.3033710395682352e-11
1536756416.513355,23,6.38219121648631e-12
1536756417.5029874,24,3.0899651327215283e-12
1536756418.4684289,25,2.0008614990546514e-12
1536756419.4680884,26,1.2366040266428846e-12
1536756420.4667451,27,8.793590855482591e-13
1536756421.4543724,28,6.541492608008737e-13
1536756422.4249551,29,3.2999715156648013e-13
1536756423.360446,30,3.131902289593702e-13
1536756424.313981,31,2.065202121728088e-13
1536756425.2885733,32,1.4954278592348158e-13
1536756426.2581527,33,1.3642780210664646e-13
1536756427.2217166,34,1.4065293797282247e-13
1536756428.1762564,35,9.907682042408633e-14
1536756429.123777,36,1.1989923485479503e-13
1536756430.1154153,37,7.035622355978238e-14
1536756431.093016,38,6.71202663219371e-14
1536756432.0676687,39,6.289227087253116e-14
1536756433.0081706,40,5.810438664499012e-14
1536756434.0549557,41,4.701625441511266e-14
1536756435.0385725,42,4.439261390670572e-14
1536756436.0462532,43,4.260905728725381e-14
1536756437.053934,44,4.579951869143617e-14
1536756438.049583,45,3.5033997594245345e-14
1536756439.012144,46,3.952931664180474e-14
1536756440.045894,47,2.9531888409315907e-14
1536756440.9733617,48,2.1221219565132655e-14
1536756442.0321786,49,2.644156662828974e-14
1536756443.0077739,50,1.7904948357294614e-14
1536756443.973343,51,1.8786535166599207e-14
1536756444.981024,52,2.254489997466358e-14
1536756445.9866996,53,1.8936068669041586e-14
1536756446.9793413,54,1.9913238064246143e-14
1536756448.0100822,55,2.0102626160922732e-14
1536756449.0438323,56,1.2430594747980805e-14
1536756450.042489,57,1.697934293978711e-14
1536756451.0611992,58,1.320510558132414e-14
1536756452.0779045,59,7.161979512324435e-15
1536756453.2259588,60,1.0477729794899915e-14
1536756454.1283593,61,1.0020630158980026e-14
1536756455.0949314,62,7.291346007325637e-15
1536756456.0665162,63,1.0214615950494312e-14
1536756457.0270715,64,1.0162010122272136e-14
1536756457.972587,65,1.243328323055539e-14
1536756458.924118,66,9.574806225653987e-15
1536756459.8816662,67,1.413110063398738e-14
1536756460.8793197,68,9.167927173176806e-15
1536756461.8488998,69,8.399183787171326e-15
1536756462.7914066,70,7.461565748405861e-15
1536756463.7537103,71,6.0410008633350436e-15
1536756464.721285,72,6.259792861742618e-15
1536756465.699889,73,8.693046621628155e-15
1536756466.6885185,74,6.086624175456528e-15
1536756467.6641145,75,6.983302994298824e-15
1536756468.619656,76,5.6486064977723845e-15
1536756469.603273,77,5.241813842655823e-15
1536756470.5738552,78,6.1246148736903046e-15
1536756471.580534,79,4.0998020950366865e-15
1536756472.558134,80,3.706149885547355e-15
1536756473.598904,81,3.796008646306248e-15
1536756474.591544,82,4.6455462699855794e-15
1536756475.664399,83,4.151843799315991e-15
1536756476.6790974,84,5.417845076787159e-15
1536756477.6386502,85,4.701447479889048e-15
1536756478.6573603,86,4.584353645260613e-15
1536756479.6108978,87,4.453989345447546e-15
1536756480.5975223,88,3.284482061327587e-15
1536756481.5671017,89,5.0475684355432045e-15
1536756482.5346763,90,3.5926555174282775e-15
1536756483.5062604,91,3.7086219512039165e-15
1536756484.4758406,92,5.529301060118669e-15
1536756485.4133346,93,3.909372994867922e-15
1536756486.3738897,94,4.4330426441784206e-15
1536756487.3544989,95,5.893896651385389e-15
1536756488.4103074,96,3.1977892979672936e-15
1536756489.379887,97,3.3570367860070224e-15
1536756490.341445,98,3.177492906243423e-15
1536756491.3471208,99,3.3615472364511515e-15
1536756492.3297348,100,2.8761281127309994e-15
